X,Y,POI_ID,NAME,UNIT_SUITE,ADDRESS,DELIV_MODE,CITY,MAF,PROV,POST_CODE,LOCATION,PHONE,FAX,TOLL_FREE,WEBSITE,EPOI_TYPE,CAF,SIC_1,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,NAICS_1,NAICS_2,NAICS_3,NAICS_4,NAICS_5,SIC_MJ_GRP,SIC_DIV,X,Y,PREC_CODE,ATTRIBCODE,STATUS,COMM_NAME,GRP_IND,FOOD_TYPE
-119.28785375699999,50.259780299699997,POI4269790,HAPPY DAYS FOOD STORE,,2409 39 ST,0.000000,VERNON,Vernon,BC,V1T 6J1,0.000000,250-545-3846,,0.000000,,0.000000,ADD860744,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-119.287854,50.259780,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.495039,49.059055,POI4270883,SAVE ON FOODS,,26310 FRASER HWY,0.000000,LANGLEY,Langley,BC,V4W 2Z7,0.000000,604-607-6555,604-607-6554,0.000000,http://www.saveonfoods.com,0.000000,ADD783783,54110000,51410000,00000000,00000000,00000000,00000000,44511,42241,00000,00000,00000,54,G,-122.495039,49.059055,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-119.4699511,49.0227532,POI4546330,CHRISTINE'S MARKET,,5820 89 ST,0.000000,OSOYOOS,Osoyoos,BC,V0H 1V1,0.000000,250-495-7928,,0.000000,,0.000000,ADD801446,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-119.469951,49.022753,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-121.465809,49.361665,POI1845835,HARV'S COUNTRY FOODS,,19959 SILVERVIEW RD,0.000000,HOPE,Hope,BC,V0X 1L2,0.000000,604-869-9999,604-869-9900,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-121.465809,49.361665,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.504869,49.401747,POI1838535,VILLAGE STORE 1986,,416 MARINE DR,0.000000,GIBSONS,Gibsons,BC,V0N 1V1,0.000000,604-886-3520,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.504869,49.401747,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.962549,50.148514,POI1837787,ALPINE MEADOWS MARKET,,8104 MCKEEVERS PL,0.000000,WHISTLER,Whistler,BC,V0N 1B8,0.000000,604-932-3600,,0.000000,,0.000000,ADD818883,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.962549,50.148514,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.955145,49.170002,POI4053431,ANNACIS ISLAND SHELL,,1291 CLIVEDEN AVE,0.000000,DELTA,Delta,BC,V3M 6M3,0.000000,604-521-4445,,0.000000,,0.000000,ADD943099,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.955145,49.170002,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.779298,49.19896,POI3521480,FRASER HEIGHTS ESSO,,15989 108 AVE,0.000000,SURREY,Surrey,BC,V4N 1J6,0.000000,604-951-3420,,0.000000,,0.000000,ADD770298,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.779298,49.198960,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.667632,49.134253,POI3521476,ESSO,,7272 200 ST,0.000000,LANGLEY,Langley,BC,V2Y 1S7,0.000000,604-539-1239,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.667632,49.134253,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.801508,49.04504,POI3521477,ESSO (IMPERIAL OIL),,2377 152 ST,0.000000,SURREY,Surrey,BC,V4A 4P1,0.000000,604-531-1507,,0.000000,,0.000000,ADD842441,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.801508,49.045040,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.954336,50.113813,POI1837098,SUSHI VILLAGE,,4272 MOUNTAIN SQ,0.000000,WHISTLER,Whistler,BC,V0N 1B4,0.000000,604-932-3330,604-932-2594,0.000000,http://www.sushivillage.com,0.000000,,54110000,58120000,00000000,00000000,00000000,00000000,44511,72232,72211,00000,00000,54,G,-122.954336,50.113813,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-114.893613,49.746642,POI1824601,SPARWOOD HEIGHTS FOODS,,1290 PONDEROSA DR,0.000000,SPARWOOD,Sparwood,BC,V0B 2G2,0.000000,250-425-2535,,0.000000,,0.000000,ADD933557,54110000,55410000,00000000,00000000,00000000,00000000,44511,44719,00000,00000,00000,54,G,-114.893613,49.746642,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-121.952349,49.176419,POI1873633,YOUNG ST SUPERMARKET,,9590 YOUNG RD,0.000000,CHILLIWACK,Chilliwack,BC,V2P 4T1,0.000000,604-792-8420,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-121.952349,49.176419,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.660349,49.163142,POI1852600,WALNUT GROVE ESSO,,20191 88 AVE,0.000000,LANGLEY,Langley,BC,V1M 2N9,0.000000,604-888-6699,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.660349,49.163142,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.849578,49.191482,POI1892354,SURREY FOOD MARKET,,13446 104 AVE,0.000000,SURREY,Surrey,BC,V3T 1V8,0.000000,604-581-4335,778-395-4335,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.849578,49.191482,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-121.939497,49.186428,POI1873690,ISLAND MARKET,,10142 KILLARNEY DR,0.000000,CHILLIWACK,Chilliwack,BC,V2P 5P8,0.000000,604-795-3100,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-121.939497,49.186428,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-121.977497,49.135021,POI1874219,WELLS ROAD GROCERY,,45107 WELLS RD,0.000000,CHILLIWACK,Chilliwack,BC,V2R 1H6,0.000000,604-858-3401,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-121.977497,49.135021,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.316412,49.154407,POI1878415,CHERRY HILL GROCERY & DELI,,32794 CHERRY AVE,0.000000,MISSION,Mission,BC,V2V 2T7,0.000000,604-826-5408,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.316412,49.154407,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.045361524,49.117923833900001,POI1874754,GREENDALE MARKET,,6398 SUMAS PRAIRIE RD,0.000000,CHILLIWACK,Chilliwack,BC,V2R 4N6,0.000000,604-823-2188,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.045362,49.117924,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-115.771978,49.511286,POI1847140,FOOD 'N STUFF,,22 VAN HORNE ST S,0.000000,CRANBROOK,Cranbrook,BC,V1C 1Y9,0.000000,250-489-3600,,0.000000,,0.000000,ADD834648,55410000,54410000,20660000,00000000,00000000,00000000,44719,445292,31132,00000,00000,55,G,-115.771978,49.511286,2,2,0.000000,0.000000,0.000000,Gas Stations
-115.76248,49.504676,POI1847406,WOODLAND GROCERY,,401 14 AVE S,0.000000,CRANBROOK,Cranbrook,BC,V1C 2X7,0.000000,250-426-2221,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-115.762480,49.504676,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-119.386599,49.883903,POI1857554,CEDARS FAMILY RESTAURANT,,130 RUTLAND RD S,0.000000,KELOWNA,Kelowna,BC,V1X 2Z4,0.000000,250-765-0085,,0.000000,,0.000000,,54110000,58120000,00000000,00000000,00000000,00000000,44511,72211,00000,00000,00000,54,G,-119.386599,49.883903,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-117.665,49.325237,POI1853242,TEEJAY'S GROCERY & BOTTLE DEPOT,,1108 4 ST,0.000000,CASTLEGAR,Castlegar,BC,V1N 2A9,0.000000,250-365-6673,250-365-4811,0.000000,,0.000000,,54110000,50930000,00000000,00000000,00000000,00000000,44511,32616,327213,00000,00000,54,G,-117.665000,49.325237,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.337718,49.041651,POI1876852,CLEARBROOK SHELL,,2181 CLEARBROOK RD,0.000000,ABBOTSFORD,Abbotsford,BC,V2T 4H6,0.000000,604-850-1150,,0.000000,,0.000000,ADD943691,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.337718,49.041651,2,2,0.000000,0.000000,0.000000,Gas Stations
-120.35961,50.693925,POI1864143,GOLDEN DRAGON RESTAURANT,,554 TRANQUILLE RD,0.000000,KAMLOOPS,Kamloops,BC,V2B 3H4,0.000000,250-376-3737,,0.000000,,0.000000,,54110000,58120000,00000000,00000000,00000000,00000000,44511,72211,72232,00000,00000,54,G,-120.359610,50.693925,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.672741,49.171374,POI1921751,OVERWAITEA FOOD GROUP - HEAD OFFICE,,19855 92A AVE,0.000000,LANGLEY,Langley,BC,V1M 3B6,0.000000,604-888-1213,604-513-5103,0.000000,http://www.owfg.com,0.000000,ADD827385,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.672741,49.171374,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.667952,49.118683,POI1880446,WILLOWBROOK SHELL,,20010 64 AVE,0.000000,LANGLEY,Langley,BC,V2Y 1M7,0.000000,604-530-8599,,0.000000,,0.000000,ADD878766,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.667952,49.118683,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.088654,49.262158,POI1913080,BEST VALUE MARKETS (1990) LTD,,714 E BROADWAY,0.000000,VANCOUVER,Vancouver,BC,V5T 1X9,0.000000,604-874-0512,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.088654,49.262158,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.857075,49.233878,POI1887055,COQUITLAM GAS BAR,,1301 LOUGHEED HWY,0.000000,COQUITLAM,Coquitlam,BC,V3K 6P9,0.000000,604-526-8541,,0.000000,,0.000000,ADD868857,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.857075,49.233878,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.791298,49.265259,POI1884151,JUTT MOTORS,,858 WESTWOOD ST,0.000000,COQUITLAM,Coquitlam,BC,V3C 3L2,0.000000,604-464-4535,,0.000000,,0.000000,ADD807481,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.791298,49.265259,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.08316,49.259407,POI1913138,BEST FOODS GROCERY,,1002 E 12 AVE,0.000000,VANCOUVER,Vancouver,BC,V5T 2J6,0.000000,604-876-8654,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.083160,49.259407,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.753164,53.912717,POI1869777,SUPER SAVE GAS,,950 VICTORIA ST,0.000000,PRINCE GEORGE,Prince George,BC,V2L 2K8,0.000000,250-563-1034,,0.000000,,0.000000,ADD901590,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.753164,53.912717,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.085842384,49.281178795800002,POI1918442,DIM SUM KING,,855 HASTINGS ST E,0.000000,VANCOUVER,Vancouver,BC,V6A 1R8,0.000000,604-251-5885,,0.000000,,0.000000,,54110000,58120000,00000000,00000000,00000000,00000000,44511,72211,00000,00000,00000,54,G,-123.085842,49.281179,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.287935,49.049231,POI1875315,HUB MOTOR SERVICE,,33839 ESSENDENE AVE,0.000000,ABBOTSFORD,Abbotsford,BC,V2S 2H3,0.000000,604-853-2352,604-853-2316,0.000000,,0.000000,ADD920877,55410000,75380000,75390000,00000000,00000000,00000000,44719,811111,811118,00000,00000,55,G,-122.287935,49.049231,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.14045159699999,49.206891153,POI1931921,71 FOOD STORE,,8710 GRANVILLE ST,0.000000,VANCOUVER,Vancouver,BC,V6P 5A5,0.000000,604-263-6018,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.140452,49.206891,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.856282,49.199171,POI1892929,GATEWAY MARKET,,10808 132 ST,0.000000,SURREY,Surrey,BC,V3T 3W5,0.000000,604-581-3730,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.856282,49.199171,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.269167,49.037819,POI1875667,ABBOTSFORD CHEVRON TOWN PANTRY,,1999 SUMAS WAY,0.000000,ABBOTSFORD,Abbotsford,BC,V2S 4L5,0.000000,604-859-0643,,0.000000,,0.000000,ADD1239048,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.269167,49.037819,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.292812,49.039245,POI1875688,MCCALLUM SHELL,,2016 MCCALLUM RD,0.000000,ABBOTSFORD,Abbotsford,BC,V2S 3N4,0.000000,604-855-0584,,0.000000,,0.000000,ADD863458,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.292812,49.039245,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.008747,49.230972,POI1906603,MERIDIEN CONVENIENCE,,4300 KINGSWAY,0.000000,BURNABY,Burnaby,BC,V5H 1Z8,0.000000,604-439-9715,,0.000000,,0.000000,ADD941412,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.008747,49.230972,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.85647,49.148026,POI1894591,YEE'S GROCERY,,13208 80 AVE,0.000000,SURREY,Surrey,BC,V3W 3B3,0.000000,604-596-1465,,0.000000,,0.000000,ADD785038,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.856470,49.148026,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-118.199203,51.001824,POI4119013,COOPER'S FOODS,,555 VICTORIA RD,0.000000,REVELSTOKE,Revelstoke,BC,,0.000000,250-837-4372,,0.000000,,0.000000,ADD907388,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-118.199203,51.001824,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.846501,49.194606,POI1892433,KEN KOY FILIPINO FOOD,,13555 105A AVE,0.000000,SURREY,Surrey,BC,V3T 2A9,0.000000,604-588-4538,,0.000000,,0.000000,ADD910265,54110000,00000000,00000000,00000000,00000000,00000000,44511,72211,00000,00000,00000,54,G,-122.846501,49.194606,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.979168,49.219302,POI1908454,SAEMAUL ORIENTAL,,7069 RUSSELL AVE,0.000000,BURNABY,Burnaby,BC,V5J 4R8,0.000000,604-431-5435,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.979168,49.219302,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-122.869623,49.237542,POI1886363,MAILLARDVILLE TOWN PANTRY,,945 BRUNETTE AVE,0.000000,COQUITLAM,Coquitlam,BC,V3K 1C8,0.000000,604-525-3537,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.869623,49.237542,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.837399,49.263156,POI1885961,COMO LAKE VILLAGE SHELL,,1990 COMO LAKE AVE,0.000000,COQUITLAM,Coquitlam,BC,V3J 3R3,0.000000,604-939-8626,,0.000000,,0.000000,ADD915053,55410000,50130000,00000000,00000000,00000000,00000000,44719,42112,00000,00000,00000,55,G,-122.837399,49.263156,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.668906,49.046262,POI1880794,FERNRIDGE SERVICE & CONVENIENCE STORE,,2426 200 ST,0.000000,LANGLEY,Langley,BC,V2Z 1X1,0.000000,604-533-4212,,0.000000,,0.000000,ADD963664,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.668906,49.046262,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.494088,52.977818,POI1868277,CENTRE SHELL,,393 BARLOW AVE,0.000000,QUESNEL,Quesnel,BC,V2J 2C1,0.000000,250-992-5412,,0.000000,,0.000000,ADD891856,55410000,75380000,00000000,00000000,00000000,00000000,44719,811111,00000,00000,00000,55,G,-122.494088,52.977818,2,2,0.000000,0.000000,0.000000,Gas Stations
-120.364561,50.706537,POI1864016,WESTBROCK CHEVRON,,1137 8 ST,0.000000,KAMLOOPS,Kamloops,BC,V2B 2Y1,0.000000,250-376-4111,,0.000000,http://www.chevron.ca,0.000000,,55410000,75390000,75380000,50130000,00000000,00000000,44719,811118,811111,42112,00000,55,G,-120.364561,50.706537,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.989426,49.224732,POI1906842,SUPERMARKET ROYAL OAK,,5172 KINGSWAY,0.000000,BURNABY,Burnaby,BC,V5H 2E8,0.000000,604-431-6166,,0.000000,,0.000000,ADD832989,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-122.989426,49.224732,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-120.35502,50.685339,POI1864058,ROBO CAR WASH,,204 TRANQUILLE RD,0.000000,KAMLOOPS,Kamloops,BC,V2B 3G1,0.000000,250-376-1710,,0.000000,,0.000000,ADD990186,55410000,75420000,00000000,00000000,00000000,00000000,44719,811192,00000,00000,00000,55,G,-120.355020,50.685339,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.768899,53.920997,POI1871102,5TH & CARNEY SHELL SELF SERVICE,,490 CARNEY ST,0.000000,PRINCE GEORGE,Prince George,BC,V2M 2K3,0.000000,250-563-0903,,0.000000,,0.000000,ADD779616,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.768899,53.920997,2,2,0.000000,0.000000,0.000000,Gas Stations
-122.780596,53.910683,POI1871160,CENTRAL PLAZA TOWN PANTRY,,1480 CENTRAL ST E,0.000000,PRINCE GEORGE,Prince George,BC,V2M 3C1,0.000000,250-563-4307,250-563-6340,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-122.780596,53.910683,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.064556,49.279854,POI4699985,SOUTH CHINA SEAS TRADING,,1945 FERNDALE ST,0.000000,VANCOUVER,Vancouver,BC,V5L 1X9,0.000000,604-254-7470,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.064556,49.279854,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.986524,49.168826,POI1970632,JINGLE POT SHELL,,2201 JINGLE POT RD,0.000000,NANAIMO,Nanaimo,BC,V9R 6J2,0.000000,250-753-4042,,0.000000,,0.000000,ADD904175,54110000,55410000,00000000,00000000,00000000,00000000,44511,44719,00000,00000,00000,54,G,-123.986524,49.168826,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.696674,48.778968,POI1965668,CORONATION MARKET,,607 CORONATION AVE,0.000000,DUNCAN,Duncan,BC,V9L 2V1,0.000000,250-748-6655,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.696674,48.778968,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-124.510527,49.857481,POI1949304,EDGEHILL CONFECTIONERY,,5206 MANSON AVE,0.000000,POWELL RIVER,Powell River,BC,V8A 3P1,0.000000,604-483-3909,604-483-3920,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-124.510527,49.857481,2,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
-123.08182,49.282523,POI1918126,POWELL STREET TOWN PANTRY,,1026 POWELL ST,0.000000,VANCOUVER,Vancouver,BC,V6A 1J2,0.000000,604-251-1343,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-123.081820,49.282523,2,2,0.000000,0.000000,0.000000,Gas Stations
-123.145466441,49.268718238300004,POI1929227,3RD & BURRARD CHEVRON,,1900 BURRARD ST,0.000000,VANCOUVER,Vancouver,BC,V6J 3H2,0.000000,604-736-4116,,0.000000,,0.000000,,55410000,00000000,00000000,00000000,00000000,00000000,44719,00000,00000,00000,00000,55,G,-123.145466,49.268718,4,2,0.000000,0.000000,0.000000,Gas Stations
-123.339996954,48.436241236199997,POI1954952,ADAMS' LOW COST FOOD MARKET,,1446 HAULTAIN ST,0.000000,VICTORIA,Victoria,BC,V8R 2J9,0.000000,250-595-5231,,0.000000,,0.000000,,54110000,00000000,00000000,00000000,00000000,00000000,44511,00000,00000,00000,00000,54,G,-123.339997,48.436241,4,2,0.000000,0.000000,0.000000,Supermarkets and Other Grocery Stores
